Class,Place,Day,Time
Yoga,Zoom,Monday,16:30
Zumbna,Zoom,Monday,17:30
Kickboxing,Kville,Monday,18:00
Pilates Bar,Zoom,Tuesday,16:30
Rhythm Cardio + Core,Zoom,Tuesday,17:30
Outdoor HIIT,Kville,Tuesday,18:00
Rhythm Strength/ MP,Zoom,Wednesday,16:30
Power Yoga,Zoom,Wednesday,17:30
Pilates Burn,Zoom,Thursday,16:30
Zumba,Zoom,Thursday,17:30
Outdoor HIIT,Kville,Thursday,18:00
Hatha Yoga,Zoom,Friday,16:30
Express HIIT,Zoom,Friday,17:30
Outdoor Yoga,Kville,Saturday,10:15
Kickboxing,Zoom,Saturday,12:00
Rhythm HIIT,Zoom,Sunday,11:00
Power Yoga,Zoom,Sunday,17:00
